SymphonyCodePK,BPM,Rolloff,Flux,RMS,Flatness,Spectral_Complexity,Pitch,Loudness
SYM5139,143.01,807.6502,1.0701,0.0806,0.3058,13.9984,1928.8048,5.931
SYM5140,142.98,1506.1452,1.3555,0.2425,0.8825,25.8602,3040.3899,26.6724
SYM5141,106.975,1551.01855,1.2571,0.2297,0.88245,27.330849999999998,2241.1574499999997,24.66685
SYM5142,106.975,1551.01855,1.2571,0.2297,0.88245,27.330849999999998,2241.1574499999997,24.66685
SYM5143,120.22,1686.9218,1.0622,0.2068,0.8398,31.0311,1392.9365,21.1372
SYM5144,103.05,1360.2981,1.1712,0.2647,0.8551,33.2057,2081.2718,29.6654
SYM5145,96.99,988.9889,1.2032,0.2422,0.9304,26.8186,2284.5607,25.2647
SYM5146,120.04,1224.3836,1.2008,0.2469,0.8968,24.3143,2011.1523,26.6672
SYM5147,120.08,1219.7957,1.1214,0.2002,0.9294,25.0392,2100.3696,20.792
SYM5148,134.85,1628.4666,1.1142,0.2758,0.8722,35.53,1721.8927,31.0987
SYM5149,104.51,1054.6486,1.2878,0.2801,0.9121,22.5153,2285.3877,31.0507
SYM5150,114.86,1540.7313,1.1038,0.2406,0.9165,32.203,1251.5482,25.267
SYM5151,85.99,1231.4534,1.1594,0.2369,0.9185,29.8841,2405.1189,25.1943
SYM5152,119.99,737.2518,1.1438,0.3399,0.9129,28.9663,2207.0147,40.8677
SYM5153,82.13,1290.4048,1.3031,0.2065,0.8907,20.7822,1917.9288,21.3107
SYM5154,161.65,807.7006,1.2657,0.2908,0.9262,22.9427,2648.0887,33.2805
SYM5155,146.14,1264.7,1.0956,0.2817,0.8396,33.4382,2101.6225,32.3804
SYM5156,120.06,1354.7538,1.1532,0.2588,0.9197,32.294,2004.5028,27.948
SYM5157,95.03,797.6,1.1375,0.1882,0.9149,18.5075,2721.2676,19.3005
SYM5158,125.27,1281.0624,1.0982,0.2871,0.8822,31.6685,2581.7407,33.3062
SYM5159,95.77,1027.8709,1.1764,0.2454,0.898,22.35,2223.2985,27.1234
SYM5160,83.99,1196.9362,1.3088,0.2268,0.8972,21.5925,2365.0034,23.7225
SYM5161,99.84,820.2852,1.1144,0.2412,0.9708,25.6367,2352.5529,25.057
SYM5162,69.99,1032.7707,1.1381,0.2352,0.9413,23.4325,2217.1385,25.1515
SYM5163,153.37,1418.8966,1.1435,0.1817,0.9248,21.0653,1832.6632,18.0056
SYM5164,119.99,1134.6595,1.338,0.3347,0.9481,28.1811,2621.9782,40.3287
SYM5165,120.08,1275.8134,1.1097,0.2296,0.9361,28.1575,2086.1694,24.5223
SYM5166,140.07,725.8505,1.1544,0.2649,0.9188,21.3325,2385.1013,29.9068
SYM5167,99.89,907.2605,1.1172,0.2663,0.923,23.2806,1936.1558,29.1654
SYM5168,108.08,1085.9444,1.0957,0.2766,0.9356,32.1683,1959.904,30.4989
SYM5169,78.0,1228.0463,1.0466,0.2114,0.9293,27.6162,1735.4427,21.4164
SYM5170,129.77,1190.6533,1.1372,0.3157,0.7905,27.7581,1653.5676,38.2397
SYM5171,120.0,1340.5204,1.2737,0.3184,0.8789,34.4192,2819.7659,37.859
SYM5172,84.91,1235.1714,0.9851,0.2071,0.8872,24.965,1934.0044,23.1497
SYM5173,135.13,1466.508,1.1313,0.2659,0.9022,32.8963,1889.9108,29.2651
SYM5174,87.01,1452.9952,1.2249,0.2738,0.88,29.7453,1769.139,30.3565
SYM5175,150.02,2555.7082,1.3146,0.2208,0.8316,27.6197,2003.4019,23.2933
SYM5176,94.07,1369.3639,1.1943,0.1882,0.9399,24.5648,1907.2379,19.0807
SYM5177,81.0,1158.5137,1.2726,0.256,0.8637,21.5163,2591.8318,28.6705
SYM5178,152.58,1052.1845,0.9842,0.2162,0.9106,22.164,1690.1324,23.1068
SYM5179,79.95,1367.5235,1.1621,0.2601,0.8561,28.6164,1901.8636,28.5775
SYM5180,94.05,976.6251,1.5012,0.3305,0.8668,21.7261,2876.1066,39.4989
SYM5181,95.0,1513.2598,1.2936,0.2205,0.9014,21.3738,1926.4895,23.0471
SYM5182,184.57,1468.796,1.1882,0.204,0.9073,30.98,1615.6246,20.7598
