TextCodePK,N_Sentences,N_Tokens,Char_Per_Tok,Avg_Token_Per_Clause,Is_Explicit
466,46.0,409.0,3.9752747253,5.7605633803,1
467,64.0,473.0,4.0290178571,7.5079365079,1
468,18.0,139.0,3.9927007299,5.1481481481,1
469,31.0,282.0,3.6398305085,7.05,1
470,27.0,284.0,4.4095238095,8.1142857143,1
471,49.0,355.0,4.7444794953,6.2280701754,1
472,77.0,742.0,3.7771428571,5.5789473684,1
473,42.0,368.0,3.9444444444,6.2372881356,1
474,58.0,462.0,4.5129411765,7.9655172414,1
475,59.0,581.0,4.2610441767,6.7558139535,1
476,28.0,230.0,3.9158415842,5.75,1
477,110.0,790.0,4.2119635891,4.5930232558,1
478,12.0,165.0,3.7756410256,4.5833333333,1
479,45.0,428.0,3.9838274933,7.0163934426,1
480,45.0,403.0,3.9470899471,6.606557377,1
481,54.0,434.0,4.071942446,4.7692307692,1
482,57.0,540.0,4.1513409962,6.1363636364,1
483,17.0,137.0,3.9461538462,8.5625,1
484,60.0,477.0,4.1965065502,5.4204545455,1
485,66.0,496.0,4.0298507463,6.1234567901,1
486,31.0,265.0,4.2825112108,7.3611111111,1
487,63.0,609.0,4.176369863,6.8426966292,1
488,46.0,420.0,3.9020100503,5.1851851852,1
489,28.0,260.0,4.0158102767,5.7777777778,1
490,16.0,184.0,4.3109756098,6.5714285714,1
491,45.0,389.0,4.1524064171,5.4788732394,1
492,77.0,556.0,4.1660305344,6.3181818182,0
493,35.0,356.0,4.2328767123,7.9111111111,1
494,55.0,427.0,3.9382716049,5.4050632911,0
495,61.0,502.0,4.0554323725,6.1975308642,1
496,37.0,406.0,3.8238341969,5.075,0
497,57.0,616.0,4.1329787234,4.496350365,1
498,1.0,16.0,3.5714285714,16.0,0
499,60.0,463.0,4.095,5.4470588235,1
500,55.0,499.0,3.9364035088,5.6704545455,0
501,60.0,540.0,4.0538793103,7.6056338028,0
502,44.0,425.0,4.0185676393,5.8219178082,0
503,52.0,562.0,3.9642147117,6.0430107527,1
504,61.0,612.0,3.9885496183,7.3734939759,1
505,67.0,926.0,3.6342780027,8.819047619,0
506,60.0,647.0,3.8752475248,8.5131578947,0
507,59.0,529.0,3.9913606911,7.3472222222,1
508,44.0,410.0,4.0376344086,5.5405405405,0
509,53.0,420.0,3.9402173913,5.8333333333,0
510,74.0,638.0,4.3410404624,7.7804878049,1
511,49.0,468.0,3.8571428571,8.5090909091,1
512,55.0,499.0,3.9364035088,5.6704545455,0
513,1.0,7.0,7.6,0.0,0
514,116.0,896.0,3.8541147132,8.0,1
515,94.0,1056.0,3.7155457552,6.8571428571,1
516,84.0,695.0,3.9218289086,7.2395833333,0
517,64.0,500.0,3.8973799127,5.5555555556,1
518,73.0,802.0,3.8993710692,9.5476190476,1
519,62.0,602.0,3.9729206963,8.2465753425,1
520,67.0,720.0,3.8590163934,8.0898876404,1
521,70.0,693.0,3.6256157635,6.0789473684,1
522,50.0,467.0,4.0616438356,8.6481481481,1
523,119.0,1068.0,3.9524361949,5.4769230769,1
524,99.0,882.0,3.582619339,6.1678321678,0
525,82.0,881.0,4.0360230548,11.7466666667,1
526,46.0,578.0,3.5663716814,11.56,1
527,71.0,723.0,3.9301919721,12.2542372881,1
528,66.0,630.0,3.9441233141,8.2894736842,1
529,81.0,862.0,3.8690647482,7.9814814815,1
530,69.0,563.0,3.6408730159,6.8658536585,1
531,68.0,598.0,3.7977941176,7.6666666667,0
532,55.0,510.0,3.8101851852,9.4444444444,1
533,50.0,596.0,3.9115226337,8.3943661972,1
534,62.0,456.0,4.2386934673,7.125,1
535,88.0,618.0,3.7928571429,6.7173913043,0
536,66.0,770.0,3.9105960265,7.3333333333,1
537,66.0,657.0,3.6112115732,7.8214285714,1
538,71.0,641.0,4.0316831683,9.8615384615,1
539,72.0,584.0,4.1758893281,8.8484848485,1
540,55.0,465.0,3.8522727273,5.3448275862,1
541,66.0,669.0,3.9798994975,6.69,1
