TextCodePK,N_Sentences,N_Tokens,Char_Per_Tok,Avg_Token_Per_Clause,Is_Explicit
62,1.0,6.0,5.8,0.0,0
63,87.0,805.0,3.9455307263,7.3181818182,1
64,88.0,878.0,3.977750309,7.1967213115,1
65,76.0,604.0,3.8556521739,6.2916666667,1
66,2.0,5.0,4.8,0.0,0
67,176.0,1506.0,4.1630170316,8.4606741573,1
68,72.0,671.0,4.0714285714,5.2834645669,1
69,1.0,7.0,7.8,0.0,0
70,30.0,278.0,4.4978540773,8.1764705882,1
71,55.0,492.0,3.6035805627,7.2352941176,1
72,20.0,146.0,3.8785714286,4.7096774194,1
73,55.0,523.0,3.8204545455,7.8059701493,0
74,69.0,690.0,3.7299843014,6.1607142857,1
75,42.0,323.0,3.8516129032,5.7678571429,1
76,72.0,584.0,3.7815631263,8.0,1
77,47.0,397.0,4.0674157303,5.3648648649,0
78,75.0,712.0,3.5285714286,6.3571428571,1
79,46.0,367.0,3.857605178,5.9193548387,1
80,44.0,469.0,4.0338541667,6.1710526316,1
81,49.0,544.0,3.9153318078,6.7160493827,1
82,27.0,178.0,3.6069364162,5.7419354839,1
83,50.0,333.0,4.0559006211,7.4,1
84,38.0,270.0,3.6755725191,5.7446808511,1
85,50.0,376.0,4.0886850153,8.1739130435,1
86,21.0,208.0,3.706185567,6.7096774194,1
87,43.0,422.0,3.9116883117,5.2098765432,0
88,78.0,536.0,4.3174946004,4.7433628319,0
89,55.0,462.0,3.6666666667,6.6956521739,1
90,93.0,628.0,3.6572052402,10.8275862069,1
91,53.0,433.0,3.8897243108,5.8513513514,0
92,47.0,417.0,3.9617486339,5.8732394366,1
93,67.0,535.0,4.0,9.3859649123,1
94,47.0,400.0,3.7438016529,4.8780487805,1
95,68.0,517.0,3.8445378151,6.4625,0
96,58.0,541.0,3.9477124183,6.0786516854,1
97,70.0,359.0,4.2916666667,5.6984126984,0
98,64.0,505.0,3.71,11.7441860465,1
99,50.0,353.0,4.3536977492,5.9830508475,1
100,40.0,315.0,3.8876811594,5.3389830508,1
101,57.0,405.0,3.8958333333,5.4,1
102,53.0,357.0,3.9446494465,13.2222222222,0
103,51.0,496.0,3.5525114155,11.0222222222,1
104,20.0,174.0,4.1294117647,6.4444444444,0
105,51.0,422.0,3.6571428571,6.2058823529,0
106,56.0,384.0,4.4698795181,7.5294117647,1
107,71.0,504.0,3.9526748971,6.3797468354,1
108,55.0,502.0,4.0779816514,5.175257732,0
109,74.0,491.0,4.0382022472,5.7093023256,1
110,65.0,428.0,4.4183168317,4.808988764,1
111,21.0,134.0,3.8914728682,6.7,0
112,78.0,470.0,4.0619469027,4.3119266055,1
113,44.0,356.0,3.8770226537,6.9803921569,1
114,49.0,396.0,3.8763157895,5.6571428571,0
115,19.0,142.0,3.8642857143,6.7619047619,1
116,48.0,410.0,3.9697802198,9.1111111111,1
117,68.0,524.0,4.255952381,4.6371681416,0
118,99.0,859.0,4.2234432234,5.843537415,1
119,56.0,359.0,4.1179941003,4.6623376623,1
120,53.0,464.0,4.4510250569,5.5903614458,1
121,68.0,505.0,4.4356846473,4.5495495495,0
122,44.0,403.0,4.3149606299,6.296875,1
123,20.0,168.0,4.1636363636,6.0,0
124,38.0,364.0,4.4576271186,5.4328358209,1
125,81.0,601.0,4.2363315697,4.6953125,1
126,58.0,387.0,4.2782369146,5.776119403,0
127,43.0,448.0,3.4830287206,6.4927536232,0
128,47.0,426.0,3.6029411765,7.3448275862,0
129,79.0,762.0,3.7316341829,9.0714285714,1
130,57.0,505.0,3.8625592417,12.625,0
131,65.0,565.0,4.1753371869,5.1834862385,0
132,31.0,322.0,3.8851351351,5.75,0
133,42.0,400.0,3.9671232877,5.9701492537,0
134,44.0,394.0,3.5580110497,6.9122807018,0
135,50.0,459.0,3.9396325459,4.6363636364,0
136,76.0,500.0,3.9351464435,5.6179775281,0
137,53.0,412.0,3.6889460154,5.0864197531,0
138,54.0,499.0,4.0452586207,7.5606060606,1
139,72.0,505.0,3.7196467991,7.0138888889,0
140,49.0,420.0,3.6621253406,4.7727272727,0
141,63.0,420.0,3.5356265356,4.9411764706,0
142,69.0,512.0,3.83014862,5.7528089888,0
143,75.0,538.0,3.8648111332,6.8101265823,0
144,36.0,306.0,3.9304029304,6.652173913,0
145,51.0,340.0,3.6949685535,4.358974359,0
146,53.0,334.0,4.1350482315,5.6610169492,0
147,36.0,347.0,3.6966666667,4.9571428571,0
148,33.0,341.0,3.9070512821,6.0892857143,0
149,28.0,252.0,3.8571428571,5.4782608696,1
150,60.0,416.0,3.5620253165,5.0120481928,0
151,43.0,415.0,4.0184210526,6.6935483871,0
152,24.0,211.0,4.2147239264,8.7916666667,1
153,62.0,507.0,3.9030732861,8.1774193548,0
154,35.0,386.0,3.6735294118,7.72,0
155,79.0,472.0,4.0044247788,6.2105263158,0
156,42.0,359.0,3.7935103245,5.8852459016,1
157,29.0,235.0,3.8274336283,6.5277777778,0
158,31.0,231.0,3.7570093458,6.0789473684,0
159,38.0,380.0,3.8289085546,5.9375,1
160,51.0,347.0,3.5141955836,6.3090909091,1
161,61.0,439.0,3.7777777778,5.6282051282,0
162,72.0,525.0,4.1325842697,5.0,0
163,37.0,269.0,3.5818181818,7.9117647059,0
164,29.0,259.0,3.7405857741,6.1666666667,0
165,47.0,296.0,3.5774647887,8.7058823529,0
166,35.0,284.0,3.8407407407,5.1636363636,0
167,40.0,382.0,3.8233532934,7.4901960784,1
168,6.0,45.0,4.5454545455,7.5,0
169,29.0,240.0,3.8648648649,5.7142857143,0
170,38.0,364.0,4.0519480519,7.137254902,0
171,24.0,119.0,4.1260504202,6.2631578947,0
172,33.0,280.0,3.9032258065,5.4901960784,0
173,59.0,350.0,3.9369627507,5.223880597,0
174,42.0,397.0,4.0323450135,6.203125,0
175,22.0,154.0,3.8590604027,5.9230769231,0
176,52.0,407.0,3.6873385013,5.1518987342,0
177,24.0,219.0,3.8579234973,7.3,0
178,44.0,359.0,4.0552325581,6.6481481481,0
179,19.0,161.0,3.6258064516,5.03125,0
180,64.0,567.0,4.1531190926,6.75,1
181,20.0,162.0,3.2887323944,6.75,0
182,16.0,145.0,4.0212765957,5.3703703704,0
183,26.0,252.0,3.6926605505,8.6896551724,0
184,79.0,443.0,4.1384976526,5.0340909091,0
185,79.0,612.0,4.1260647359,5.7735849057,0
186,45.0,401.0,4.2959183673,30.8461538462,1
187,43.0,307.0,4.2625899281,6.8222222222,0
188,46.0,222.0,3.8657407407,5.55,1
189,46.0,456.0,3.5466970387,7.0153846154,0
190,69.0,461.0,3.9037199125,4.308411215,1
191,50.0,304.0,4.1262798635,5.3333333333,1
192,70.0,241.0,3.9285714286,5.3555555556,1
193,71.0,501.0,3.9457700651,5.4456521739,1
194,67.0,546.0,3.5929549902,5.46,1
195,26.0,292.0,3.6174242424,7.6842105263,0
196,28.0,127.0,3.2992125984,4.7037037037,0
197,56.0,472.0,3.9523809524,5.1304347826,1
198,23.0,212.0,3.9340659341,6.8387096774,1
199,43.0,482.0,3.9790575916,7.53125,0
200,81.0,726.0,3.7642140468,7.5625,1
201,65.0,683.0,3.5175097276,7.4239130435,1
202,59.0,510.0,4.1036144578,6.8,1
203,64.0,535.0,3.5454545455,5.9444444444,1
204,54.0,662.0,3.1852678571,8.9459459459,0
205,60.0,498.0,3.9809976247,6.8219178082,1
206,86.0,824.0,3.7784431138,9.4712643678,1
207,66.0,553.0,3.8521560575,5.1682242991,0
208,79.0,844.0,4.0922330097,7.4690265487,1
209,48.0,414.0,3.9320987654,7.6666666667,1
210,73.0,719.0,3.8164335664,7.9010989011,1
211,47.0,503.0,3.7082294264,7.6212121212,1
212,35.0,255.0,3.5641025641,6.5384615385,1
213,57.0,567.0,3.798206278,8.3382352941,1
214,51.0,476.0,3.6428571429,8.2068965517,1
215,38.0,323.0,3.6195652174,7.3409090909,1
216,73.0,640.0,3.7342256214,7.1111111111,1
217,29.0,262.0,3.6769911504,6.3902439024,0
218,29.0,351.0,3.8098859316,10.0285714286,1
219,46.0,383.0,4.2079207921,7.66,0
220,104.0,939.0,3.8058252427,8.1652173913,1
221,61.0,454.0,3.5378787879,7.8275862069,1
222,20.0,227.0,3.7329842932,7.5666666667,0
223,60.0,484.0,3.7647058824,8.4912280702,0
224,53.0,465.0,3.3479381443,12.9166666667,0
