TextCodePK,n_sentences,n_tokens,Is_Explicit,N_Swear_Words_IT,N_Swear_Words_EN,Lyrics
419,39.0,352.0,,,,
420,61.0,514.0,,,,
421,32.0,237.0,,,,
422,54.0,617.0,,,,
423,65.0,523.0,,,,
424,32.0,350.0,,,,
425,41.0,408.0,,,,
426,26.0,271.0,,,,
427,49.0,414.0,,,,
428,46.0,404.0,,,,
429,57.0,363.0,,,,
430,51.0,481.0,,,,
431,37.0,392.0,,,,
432,43.0,437.0,,,,
433,61.0,647.0,,,,
434,59.0,453.0,,,,
435,49.0,445.0,,,,
436,15.0,179.0,,,,
437,85.0,975.0,,,,
438,40.0,441.0,,,,
439,58.0,456.0,,,,
440,80.0,487.0,,,,
441,49.0,360.0,,,,
442,32.0,322.0,,,,
443,65.0,663.0,,,,
444,71.0,693.0,,,,
445,52.0,481.0,,,,
446,55.0,492.0,,,,
447,12.0,105.0,,,,
448,68.0,575.0,,,,
449,40.0,227.0,,,,
450,19.0,179.0,,,,
451,40.0,372.0,,,,
452,50.0,386.0,,,,
453,63.0,434.0,,,,
454,51.0,422.0,,,,
455,76.0,617.0,,,,
456,46.0,378.0,,,,
457,78.0,568.0,,,,
458,45.0,471.0,,,,
459,47.0,336.0,,,,
460,63.0,477.0,,,,
461,52.0,474.0,,,,
462,25.0,231.0,,,,
463,70.0,553.0,,,,
464,34.0,297.0,,,,
465,27.0,205.0,,,,
466,46.0,409.0,,,,
467,64.0,473.0,,,,
468,18.0,139.0,,,,
469,31.0,282.0,,,,
470,27.0,284.0,,,,
471,49.0,355.0,,,,
472,77.0,742.0,,,,
473,42.0,368.0,,,,
474,58.0,462.0,,,,
475,59.0,581.0,,,,
476,28.0,230.0,,,,
477,110.0,790.0,,,,
478,12.0,165.0,,,,
479,45.0,428.0,,,,
480,45.0,403.0,,,,
481,54.0,434.0,,,,
482,57.0,540.0,,,,
483,17.0,137.0,,,,
484,60.0,477.0,,,,
485,66.0,496.0,,,,
486,31.0,265.0,,,,
487,63.0,609.0,,,,
488,46.0,420.0,,,,
489,28.0,260.0,,,,
490,16.0,184.0,,,,
491,45.0,389.0,,,,
492,77.0,556.0,,,,
493,35.0,356.0,,,,
494,55.0,427.0,,,,
495,61.0,502.0,,,,
496,37.0,406.0,,,,
497,57.0,616.0,,,,
498,1.0,16.0,,,,
499,60.0,463.0,,,,
500,55.0,499.0,,,,
501,60.0,540.0,,,,
502,44.0,425.0,,,,
